time,event,trial,stimulus
1781034214.8414974,START,,
1781034214.8417654,TRIAL_START,0,A
1781034219.8495276,TONE_ON,0,A
1781034219.8500054,SHOCK_ON,0,A
1781034221.850911,SHOCK_OFF,0,A
1781034221.8511937,TRIAL_END,0,A
1781034224.7849894,TRIAL_START,1,B
1781034229.7997665,TONE_ON,1,B
1781034234.800639,TRIAL_END,1,B
1781034236.9006884,TRIAL_START,2,A
1781034241.9169903,TONE_ON,2,A
1781034241.9179623,SHOCK_ON,2,A
1781034243.9188266,SHOCK_OFF,2,A
1781034243.9193938,TRIAL_END,2,A
1781034246.3580754,TRIAL_START,3,B
1781034251.3678868,TONE_ON,3,B
1781034256.368899,TRIAL_END,3,B
